Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
3,LUIS LEON SANCHEZ,161,CAISSE D'EPARGNE,32 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
4,SANDY CASAR,62,FDJ,28 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
5,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,24 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
6,ANDY SCHLECK,11,TEAM SAXO BANK,20 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
8,SAMUEL SANCHEZ,181,EUSKALTEL - EUSKADI,14 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
9,JENS VOIGT,19,TEAM SAXO BANK,12 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
10,ROBERT GESINK,195,RABOBANK,10 PTS,,9,2010,,,,Col de la Madeleine - 204.5 km
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,15 PTS,,10,2010,,,,Cote de Laffrey - 179 km
2,PIERRE ROLLAND,156,BBOX BOUYGUES TELECOM,13 PTS,,10,2010,,,,Cote de Laffrey - 179 km
3,DRIES DEVENYNS,134,QUICK STEP,11 PTS,,10,2010,,,,Cote de Laffrey - 179 km
4,VASILI KIRYIENKA,165,CAISSE D'EPARGNE,9 PTS,,10,2010,,,,Cote de Laffrey - 179 km
5,SERGIO MIGUEL MOREIRA PAULINHO,27,TEAM RADIOSHACK,8 PTS,,10,2010,,,,Cote de Laffrey - 179 km
6,MAXIME BOUET,82,AG2R LA MONDIALE,7 PTS,,10,2010,,,,Cote de Laffrey - 179 km
7,JÉRÔME PINEAU,135,QUICK STEP,6 PTS,,10,2010,,,,Cote de Laffrey - 179 km
8,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,5 PTS,,10,2010,,,,Cote de Laffrey - 179 km
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,4 PTS,,10,2010,,,,Côte des Terrasses - 179 km
2,VASILI KIRYIENKA,165,CAISSE D'EPARGNE,3 PTS,,10,2010,,,,Côte des Terrasses - 179 km
3,PIERRE ROLLAND,156,BBOX BOUYGUES TELECOM,2 PTS,,10,2010,,,,Côte des Terrasses - 179 km
4,SERGIO MIGUEL MOREIRA PAULINHO,27,TEAM RADIOSHACK,1 PTS,,10,2010,,,,Côte des Terrasses - 179 km
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,20 PTS,,10,2010,,,,Col du Noyer - 179 km
2,DRIES DEVENYNS,134,QUICK STEP,18 PTS,,10,2010,,,,Col du Noyer - 179 km
3,SERGIO MIGUEL MOREIRA PAULINHO,27,TEAM RADIOSHACK,16 PTS,,10,2010,,,,Col du Noyer - 179 km
4,VASILI KIRYIENKA,165,CAISSE D'EPARGNE,14 PTS,,10,2010,,,,Col du Noyer - 179 km
5,PIERRE ROLLAND,156,BBOX BOUYGUES TELECOM,12 PTS,,10,2010,,,,Col du Noyer - 179 km
6,MAXIME BOUET,82,AG2R LA MONDIALE,10 PTS,,10,2010,,,,Col du Noyer - 179 km
1,JOSÉ-ALBERTO BENITEZ,212,FOOTON-SERVETTO,4 PTS,,11,2010,,,,Col de Cabre - 184.5 km
2,STÉPHANE AUGE,172,COFIDIS LE CREDIT EN LIGNE,3 PTS,,11,2010,,,,Col de Cabre - 184.5 km
3,ANTHONY GESLIN,64,FDJ,2 PTS,,11,2010,,,,Col de Cabre - 184.5 km
4,JÉRÔME PINEAU,135,QUICK STEP,1 PTS,,11,2010,,,,Col de Cabre - 184.5 km
1,PIERRICK FEDRIGO,154,BBOX BOUYGUES TELECOM,4 PTS,,12,2010,,,,Côte de Saint-Barthélémy-le-Plain - 210.5 km
2,RYDER HESJEDAL,54,GARMIN - TRANSITIONS,3 PTS,,12,2010,,,,Côte de Saint-Barthélémy-le-Plain - 210.5 km
3,RUI COSTA,162,CAISSE D'EPARGNE,2 PTS,,12,2010,,,,Côte de Saint-Barthélémy-le-Plain - 210.5 km
4,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,1 PTS,,12,2010,,,,Côte de Saint-Barthélémy-le-Plain - 210.5 km
1,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,4 PTS,,12,2010,,,,Col des Nonières - 210.5 km
2,CHRISTOPHE KERN,175,COFIDIS LE CREDIT EN LIGNE,3 PTS,,12,2010,,,,Col des Nonières - 210.5 km
3,VASILI KIRYIENKA,165,CAISSE D'EPARGNE,2 PTS,,12,2010,,,,Col des Nonières - 210.5 km
4,GORKA VERDUGO,189,EUSKALTEL - EUSKADI,1 PTS,,12,2010,,,,Col des Nonières - 210.5 km
1,SANDY CASAR,62,FDJ,10 PTS,,12,2010,,,,Suc de Montivernoux - 210.5 km
2,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,9 PTS,,12,2010,,,,Suc de Montivernoux - 210.5 km
3,CARLOS BARREDO,132,QUICK STEP,8 PTS,,12,2010,,,,Suc de Montivernoux - 210.5 km
4,MARIO AERTS,102,OMEGA PHARMA - LOTTO,7 PTS,,12,2010,,,,Suc de Montivernoux - 210.5 km
5,MATHIEU PERGET,167,CAISSE D'EPARGNE,6 PTS,,12,2010,,,,Suc de Montivernoux - 210.5 km
6,RAFAEL VALLS,219,FOOTON-SERVETTO,5 PTS,,12,2010,,,,Suc de Montivernoux - 210.5 km
1,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,4 PTS,,12,2010,,,,Côte de la Mouline - 210.5 km
2,SANDY CASAR,62,FDJ,3 PTS,,12,2010,,,,Côte de la Mouline - 210.5 km
3,CARLOS BARREDO,132,QUICK STEP,2 PTS,,12,2010,,,,Côte de la Mouline - 210.5 km
4,ALEXANDRE VINOKOUROV,9,ASTANA,1 PTS,,12,2010,,,,Côte de la Mouline - 210.5 km
2,JOAQUIN RODRIGUEZ OLIVER,77,KATUSHA TEAM,18 PTS,,12,2010,,,,Côte de la Croix-Neuve (Montée Laurent Jalabert) - 210.5 km
3,ALEXANDRE VINOKOUROV,9,ASTANA,16 PTS,,12,2010,,,,Côte de la Croix-Neuve (Montée Laurent Jalabert) - 210.5 km
4,ANDY SCHLECK,11,TEAM SAXO BANK,14 PTS,,12,2010,,,,Côte de la Croix-Neuve (Montée Laurent Jalabert) - 210.5 km
5,JURGEN VAN DEN BROECK,101,OMEGA PHARMA - LOTTO,12 PTS,,12,2010,,,,Côte de la Croix-Neuve (Montée Laurent Jalabert) - 210.5 km
