Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
8,BBOX BOUYGUES TELECOM,147h 43' 57'',+ 00h 36' 55'',10,2010,,,,
9,SKY PRO CYCLING,147h 47' 33'',+ 00h 40' 31'',10,2010,,,,
10,COFIDIS LE CREDIT EN LIGNE,147h 50' 26'',+ 00h 43' 24'',10,2010,,,,
11,EUSKALTEL - EUSKADI,147h 52' 15'',+ 00h 45' 13'',10,2010,,,,
12,QUICK STEP,147h 53' 18'',+ 00h 46' 16'',10,2010,,,,
13,TEAM SAXO BANK,147h 54' 44'',+ 00h 47' 42'',10,2010,,,,
14,BMC RACING TEAM,147h 56' 28'',+ 00h 49' 26'',10,2010,,,,
15,TEAM HTC - COLUMBIA,147h 58' 52'',+ 00h 51' 50'',10,2010,,,,
16,FDJ,148h 23' 56'',+ 01h 16' 54'',10,2010,,,,
17,GARMIN - TRANSITIONS,148h 36' 24'',+ 01h 29' 22'',10,2010,,,,
18,CERVELO TEST TEAM,148h 38' 24'',+ 01h 31' 22'',10,2010,,,,
19,KATUSHA TEAM,148h 51' 32'',+ 01h 44' 30'',10,2010,,,,
20,FOOTON-SERVETTO,148h 53' 15'',+ 01h 46' 13'',10,2010,,,,
21,TEAM MILRAM,149h 33' 16'',+ 02h 26' 14'',10,2010,,,,
22,LAMPRE - FARNESE,149h 47' 12'',+ 02h 40' 10'',10,2010,,,,
1,CAISSE D'EPARGNE,161h 14' 29'',-,11,2010,,,,
2,TEAM RADIOSHACK,161h 15' 00'',+ 00h 00' 31'',11,2010,,,,
3,ASTANA,161h 29' 23'',+ 00h 14' 54'',11,2010,,,,
4,RABOBANK,161h 30' 07'',+ 00h 15' 38'',11,2010,,,,
5,AG2R LA MONDIALE,161h 31' 21'',+ 00h 16' 52'',11,2010,,,,
6,OMEGA PHARMA - LOTTO,161h 34' 06'',+ 00h 19' 37'',11,2010,,,,
7,LIQUIGAS-DOIMO,161h 45' 11'',+ 00h 30' 42'',11,2010,,,,
8,BBOX BOUYGUES TELECOM,161h 51' 24'',+ 00h 36' 55'',11,2010,,,,
9,SKY PRO CYCLING,161h 55' 00'',+ 00h 40' 31'',11,2010,,,,
10,COFIDIS LE CREDIT EN LIGNE,161h 57' 53'',+ 00h 43' 24'',11,2010,,,,
11,EUSKALTEL - EUSKADI,161h 59' 42'',+ 00h 45' 13'',11,2010,,,,
12,QUICK STEP,162h 00' 45'',+ 00h 46' 16'',11,2010,,,,
13,BMC RACING TEAM,162h 03' 55'',+ 00h 49' 26'',11,2010,,,,
14,TEAM SAXO BANK,162h 05' 15'',+ 00h 50' 46'',11,2010,,,,
15,TEAM HTC - COLUMBIA,162h 06' 19'',+ 00h 51' 50'',11,2010,,,,
16,FDJ,162h 31' 23'',+ 01h 16' 54'',11,2010,,,,
17,GARMIN - TRANSITIONS,162h 43' 51'',+ 01h 29' 22'',11,2010,,,,
18,CERVELO TEST TEAM,162h 45' 51'',+ 01h 31' 22'',11,2010,,,,
19,KATUSHA TEAM,162h 58' 59'',+ 01h 44' 30'',11,2010,,,,
20,FOOTON-SERVETTO,163h 16' 04'',+ 02h 01' 35'',11,2010,,,,
21,TEAM MILRAM,163h 40' 43'',+ 02h 26' 14'',11,2010,,,,
22,LAMPRE - FARNESE,163h 54' 39'',+ 02h 40' 10'',11,2010,,,,
1,TEAM RADIOSHACK,176h 11' 16'',-,12,2010,,,,
2,CAISSE D'EPARGNE,176h 11' 37'',+ 00h 00' 21'',12,2010,,,,
3,ASTANA,176h 26' 59'',+ 00h 15' 43'',12,2010,,,,
4,RABOBANK,176h 27' 29'',+ 00h 16' 13'',12,2010,,,,
5,AG2R LA MONDIALE,176h 31' 38'',+ 00h 20' 22'',12,2010,,,,
6,OMEGA PHARMA - LOTTO,176h 36' 54'',+ 00h 25' 38'',12,2010,,,,
7,LIQUIGAS-DOIMO,176h 43' 29'',+ 00h 32' 13'',12,2010,,,,
8,BBOX BOUYGUES TELECOM,176h 52' 17'',+ 00h 41' 01'',12,2010,,,,
9,SKY PRO CYCLING,176h 53' 37'',+ 00h 42' 21'',12,2010,,,,
10,EUSKALTEL - EUSKADI,176h 58' 47'',+ 00h 47' 31'',12,2010,,,,
11,QUICK STEP,177h 00' 08'',+ 00h 48' 52'',12,2010,,,,
12,COFIDIS LE CREDIT EN LIGNE,177h 00' 44'',+ 00h 49' 28'',12,2010,,,,
13,BMC RACING TEAM,177h 06' 54'',+ 00h 55' 38'',12,2010,,,,
14,TEAM SAXO BANK,177h 08' 33'',+ 00h 57' 17'',12,2010,,,,
15,TEAM HTC - COLUMBIA,177h 10' 09'',+ 00h 58' 53'',12,2010,,,,
